trial,params,mean_score,std_score,cv_scores,mean_time,rank
2,"{'max_depth': 3, 'num_leaves': 90, 'min_child_samples': 34, 'random_state': 42, 'n_jobs': -1}",0.3607002122680235,0.008971258174401447,"[0.36816730801321085, 0.37444502366306875, 0.35449343788925847, 0.35501958911117726, 0.3513757026634024]",2.0613327503204344,1.0
1,"{'max_depth': 10, 'num_leaves': 32, 'min_child_samples': 16, 'random_state': 42, 'n_jobs': -1}",0.34142393138229243,0.009622703513471505,"[0.3408992441443158, 0.35489558578573543, 0.3427809111112055, 0.3436814877616692, 0.3248624281085362]",4.440107965469361,2.0
0,"{'max_depth': 7, 'num_leaves': 97, 'min_child_samples': 40, 'random_state': 42, 'n_jobs': -1}",0.33500689268649103,0.00900335456651952,"[0.339315893504958, 0.3407621108734224, 0.3410105449811177, 0.3366806822563162, 0.31726523181664085]",6.513334608078003,3.0
